Protein_ID,Binding_Affinity,Grid_Center,Grid_Size,Status,Message,Timestamp
,,,,,,
AHB05925.2,-5.017,"(-14.285, 8.235, -9.93)","(90.248, 105.306, 126.0)",Success,OK,2026-01-03T15:04:26.775389
AHB06422.1,-5.345,"(5.453, -0.233, -6.07)","(98.449, 94.158, 99.609)",Success,OK,2026-01-03T15:04:49.946564
AHB07391.1,-5.691,"(-2.643, -3.236, -0.672)","(63.057, 58.165, 56.687)",Success,OK,2026-01-03T15:05:04.472292
AHB07624.1,-5.492,"(0.565, -0.054, -1.184)","(61.38, 53.606, 57.786)",Success,OK,2026-01-03T15:05:18.364077
AHB07678.2,-4.573,"(-17.858, -0.345, -12.43)","(82.343, 40.484, 80.537)",Success,OK,2026-01-03T15:05:32.986676
AHB07915.1,-5.448,"(1.128, -4.692, 8.562)","(59.009, 66.951, 76.64)",Success,OK,2026-01-03T15:10:06.461096
AHB08114.1,-5.627,"(0.862, -2.901, -2.417)","(60.176, 64.393, 66.773)",Success,OK,2026-01-03T15:10:21.754363
AHB08156.2,-5.377,"(-1.163, 2.502, -4.523)","(78.976, 69.806, 92.889)",Success,OK,2026-01-03T15:10:39.827163
AHB08333.1,-4.524,"(-6.723, -3.398, -5.44)","(79.577, 86.801, 116.786)",Success,OK,2026-01-03T15:10:59.057082
AHB08392.1,-4.874,"(-2.58, 5.985, 18.72)","(76.987, 73.255, 116.593)",Success,OK,2026-01-03T15:11:18.868196
AHB08401.1,-5.468,"(9.002, 17.745, 2.895)","(103.861, 84.591, 91.267)",Success,OK,2026-01-03T15:11:37.401502
AHB08631.1,-4.728,"(1.014, -0.456, 2.349)","(49.187, 44.966, 55.264)",Success,OK,2026-01-03T15:11:52.282483
AHB08639.1,-5.711,"(-1.495, 0.506, -0.228)","(50.761, 56.492, 62.494)",Success,OK,2026-01-03T15:12:05.438767
AHB08755.1,-7.131,"(-0.723, 5.89, 0.538)","(67.23, 80.836, 70.933)",Success,OK,2026-01-03T15:12:23.481734
AHB74021.1,-5.041,"(1.562, -0.181, -1.468)","(69.07, 84.549, 83.756)",Success,OK,2026-01-03T15:12:41.244270
AHB74022.2,-4.838,"(9.19, -5.662, -2.962)","(85.712, 60.099, 81.809)",Success,OK,2026-01-03T15:12:57.084835
AHB74121.1,-5.677,"(-4.379, 0.132, -1.184)","(65.748, 55.976, 77.583)",Success,OK,2026-01-03T15:13:11.712216
AHB74137.1,-5.906,"(2.407, -0.433, 9.497)","(54.851, 51.102, 76.136)",Success,OK,2026-01-03T15:13:25.779301
AHB74303.1,-7.005,"(-1.175, 0.838, -1.979)","(58.051, 67.946, 72.335)",Success,OK,2026-01-03T15:13:40.935385
AHB74371.2,-5.795,"(3.553, -3.3, 10.91)","(53.499, 58.945, 91.76)",Success,OK,2026-01-03T15:13:56.681043
AHB74422.2,-5.094,"(3.226, -6.858, 7.972)","(93.763, 70.816, 92.92)",Success,OK,2026-01-03T15:14:16.924467
AHB74444.1,-4.843,"(-14.957, -10.901, -12.33)","(82.764, 72.454, 89.876)",Success,OK,2026-01-03T15:14:33.111827
AHB74498.1,-4.911,"(10.915, -2.255, -9.998)","(69.66, 49.231, 94.463)",Success,OK,2026-01-03T15:14:47.613085
AHB74521.2,-5.764,"(-1.486, 3.81, 2.544)","(64.85, 68.24, 70.61)",Success,OK,2026-01-03T15:15:02.785908
AHB74566.1,-4.956,"(3.025, -0.281, 20.006)","(62.758, 62.781, 118.542)",Success,OK,2026-01-03T15:15:22.339822
AHB74586.1,-5.689,"(4.153, 0.351, -1.697)","(56.583, 59.721, 57.388)",Success,OK,2026-01-03T15:15:36.518330
AHB74611.2,-5.347,"(0.909, -5.827, 6.028)","(43.179, 57.852, 78.725)",Success,OK,2026-01-03T15:15:50.844592
AHB74612.1,-5.535,"(-0.001, 2.112, 7.113)","(47.431, 61.623, 83.438)",Success,OK,2026-01-03T15:16:05.959241
AHB74721.1,-7.11,"(-4.799, 2.636, 1.058)","(61.789, 59.082, 80.829)",Success,OK,2026-01-03T15:16:21.957800
AHB74732.1,-6.004,"(1.319, 1.011, 7.7)","(52.947, 58.246, 75.931)",Success,OK,2026-01-03T15:16:39.024397
AHB74742.2,-5.205,"(0.718, 3.639, -1.603)","(58.701, 69.635, 75.225)",Success,OK,2026-01-03T15:16:56.419855
AHB74783.1,-5.49,"(9.142, 2.332, 21.055)","(83.667, 65.844, 116.043)",Success,OK,2026-01-03T15:17:18.210780
AHB74902.1,-5.597,"(0.828, 1.993, -0.686)","(53.835, 57.708, 51.734)",Success,OK,2026-01-03T15:17:32.922255
