ID,Description,Score,Identity_Percent,Aligned_Length,Candidate_Length,Passed_Filter
GKS60151.1,GKS60151.1 hypothetical protein YTPLAS18_36780 [Nitrospira sp.],29.0,100.0,5,147,False
CUR61545.1,CUR61545.1 hypothetical protein NOCA1250094 [metagenome],26.0,100.0,4,181,False
WLI89753.1,WLI89753.1 hypothetical protein Q4S45_01140 [Massilia sp. R2A-15],23.0,100.0,4,140,False
KKB42262.1,KKB42262.1 hypothetical protein QY95_00111 [Bacillus thermotolerans],27.0,100.0,5,542,False
CUR61157.1,CUR61157.1 hypothetical protein NOCA1240260 [metagenome],21.0,100.0,4,129,False
UZF56154.1,UZF56154.1 hypothetical protein LH935_26345 [Gordonia polyisoprenivorans],29.0,100.0,6,111,False
GKS61936.1,GKS61936.1 hypothetical protein YTPLAS21_13940 [Candidatus Nitrosocosmicus sp.],24.0,100.0,3,135,False
KGP80220.1,KGP80220.1 hypothetical protein P364_0120685 [Paenibacillus sp. MAEPY2],24.5,100.0,5,183,False
RAS99965.1,RAS99965.1 hypothetical protein A6E22_23390 [Bacillus cereus],26.0,100.0,4,143,False
RAT00309.1,RAT00309.1 hypothetical protein A6E22_22860 [Bacillus cereus],20.0,100.0,3,109,False
RQP15133.1,RQP15133.1 MAG: hypothetical protein EAS49_15740 [Brucella intermedia],25.0,100.0,7,193,False
AHG19357.1,AHG19357.1 hypothetical protein Z042_06790 [Chania multitudinisentens RB-25],27.0,100.0,6,159,False
QQE07020.1,QQE07020.1 hypothetical protein IC580_00480 [Cupriavidus sp. ISTL7],22.0,100.0,5,152,False
KGP78182.1,KGP78182.1 hypothetical protein P363_0132405 [Paenibacillus sp. MAEPY1],24.5,100.0,5,183,False
RQP05629.1,RQP05629.1 MAG: hypothetical protein D1H97_11255 [Paracoccus sp. BP8],28.0,100.0,5,189,False
APC49517.1,APC49517.1 hypothetical protein BME96_15530 [Virgibacillus halodenitrificans],26.0,100.0,4,171,False
GKS63644.1,GKS63644.1 hypothetical protein YTPLAS72_09480 [Nitrospira sp.],31.0,100.0,8,115,False
WWV54333.1,WWV54333.1 hypothetical protein V0M98_36355 (plasmid) [Pseudomonas silesiensis],24.5,100.0,5,104,False
RAS98122.1,RAS98122.1 hypothetical protein A6E22_27090 [Bacillus cereus],20.0,100.0,3,109,False
WWV53981.1,WWV53981.1 hypothetical protein V0M98_15720 [Pseudomonas silesiensis],21.0,100.0,4,109,False
RAS97784.1,RAS97784.1 hypothetical protein A6E21_00285 [Bacillus cereus],23.0,100.0,3,151,False
