ID,Average_pLDDT,Num_Residues,Min_pLDDT,Max_pLDDT,Category,Status
AHB08333.1,87.37,251,57.0,99.0,High,Passed
AHB08334.2,54.58,372,22.0,91.0,Low,Failed
AHB08392.1,87.75,334,44.0,98.0,High,Passed
AHB08401.1,90.21,219,64.0,99.0,Very High,Passed
AHB08607.2,43.7,334,27.0,76.0,Very Low,Failed
AHB08615.1,68.18,331,34.0,93.0,Low,Failed
AHB08631.1,79.78,129,39.0,93.0,High,Passed
AHB08639.1,88.88,186,53.0,98.0,High,Passed
AHB08755.1,78.85,388,42.0,98.0,High,Passed
AHB74021.1,71.51,392,37.0,97.0,High,Passed
AHB74022.2,87.49,176,69.0,98.0,High,Passed
AHB74121.1,95.35,295,70.0,99.0,Very High,Passed
AHB74137.1,95.58,198,85.0,99.0,Very High,Passed
AHB74235.2,45.13,170,29.0,62.0,Very Low,Failed
AHB74303.1,93.74,269,45.0,99.0,Very High,Passed
AHB74371.2,87.75,171,45.0,96.0,High,Passed
AHB74422.2,85.35,299,54.0,99.0,High,Passed
AHB74444.1,89.06,202,55.0,99.0,High,Passed
AHB74498.1,89.77,202,58.0,99.0,High,Passed
AHB74521.2,95.01,285,65.0,99.0,Very High,Passed
AHB74563.1,41.77,142,34.0,75.0,Very Low,Failed
AHB74566.1,90.08,362,47.0,99.0,Very High,Passed
AHB74586.1,94.26,269,66.0,99.0,Very High,Passed
AHB74611.2,73.27,161,38.0,91.0,High,Passed
AHB74612.1,81.0,205,49.0,97.0,High,Passed
AHB74721.1,91.38,255,46.0,99.0,Very High,Passed
AHB74732.1,94.7,253,67.0,99.0,Very High,Passed
AHB74742.2,94.87,340,70.0,99.0,Very High,Passed
AHB74783.1,88.56,387,44.0,99.0,High,Passed
AGM61392.1,60.44,263,25.0,93.0,Low,Failed
AHB05925.2,86.11,340,51.0,98.0,High,Passed
AHB06422.1,79.27,393,34.0,99.0,High,Passed
AHB06672.2,62.25,150,33.0,86.0,Low,Failed
AHB07391.1,92.83,275,69.0,98.0,Very High,Passed
AHB07624.1,97.91,264,85.0,99.0,Very High,Passed
AHB07678.2,81.99,120,47.0,95.0,High,Passed
AHB07915.1,89.82,291,52.0,99.0,High,Passed
AHB08114.1,97.06,321,66.0,99.0,Very High,Passed
AHB08156.2,93.74,258,65.0,99.0,Very High,Passed
AHB08189.1,66.83,186,40.0,88.0,Low,Failed
AHB74902.1,90.7,197,60.0,98.0,Very High,Passed
AHB75005.2,93.11,297,64.0,99.0,Very High,Passed
AHB75089.1,89.13,225,61.0,99.0,High,Passed
AHB75156.1,91.97,258,69.0,99.0,Very High,Passed
AHB75174.2,95.42,189,63.0,99.0,Very High,Passed
AHB75256.1,74.01,212,48.0,98.0,High,Passed
AHB75299.2,86.25,256,37.0,96.0,High,Passed
AHB75310.1,79.35,100,49.0,93.0,High,Passed
AHB75352.1,39.24,284,21.0,80.0,Very Low,Failed
AHB75464.2,95.61,259,78.0,99.0,Very High,Passed
AHB75472.1,92.53,395,53.0,99.0,Very High,Passed
AHB75490.1,90.86,307,40.0,99.0,Very High,Passed
AHB75649.1,90.37,270,60.0,98.0,Very High,Passed
AHB75679.1,80.02,236,42.0,97.0,High,Passed
AHB75709.1,96.89,312,82.0,99.0,Very High,Passed
AHB76034.1,88.69,357,40.0,99.0,High,Passed
AHB76128.1,78.12,136,45.0,95.0,High,Passed
AHB76340.1,51.05,109,30.0,76.0,Low,Failed
AHB76370.2,86.25,386,42.0,98.0,High,Passed
AHB76432.1,86.29,345,47.0,99.0,High,Passed
AHB76583.2,70.07,331,40.0,96.0,High,Passed
AHB76685.2,87.93,369,42.0,99.0,High,Passed
AHB76728.1,92.34,303,63.0,99.0,Very High,Passed
AHB76762.1,83.31,286,43.0,98.0,High,Passed
AHB76811.1,87.16,127,39.0,95.0,High,Passed
AHB76832.2,94.4,297,60.0,99.0,Very High,Passed
AHB76914.2,94.02,312,61.0,99.0,Very High,Passed
AHB77090.1,88.45,382,51.0,99.0,High,Passed
AHB77093.2,85.91,289,43.0,99.0,High,Passed
AHB77260.1,75.99,166,47.0,93.0,High,Passed
AHB77347.1,79.67,391,34.0,98.0,High,Passed
AHB77392.2,85.63,300,35.0,99.0,High,Passed
AHB77471.2,79.52,307,48.0,98.0,High,Passed
AHB77510.2,76.26,253,41.0,96.0,High,Passed
AHB77522.1,94.06,233,60.0,99.0,Very High,Passed
AHB77586.1,76.57,362,39.0,97.0,High,Passed
AHB77672.1,91.54,304,66.0,98.0,Very High,Passed
AHB77900.2,96.74,335,78.0,99.0,Very High,Passed
AHB77913.2,89.04,400,43.0,98.0,High,Passed
AHB78153.1,95.29,310,63.0,99.0,Very High,Passed
AHB78228.1,60.5,152,34.0,88.0,Low,Failed
AHB78229.2,91.5,372,53.0,99.0,Very High,Passed
AHB78233.1,91.76,208,47.0,99.0,Very High,Passed
AHB78268.1,95.23,277,64.0,99.0,Very High,Passed
AHB78278.1,48.44,175,34.0,78.0,Very Low,Failed
AHB78288.1,82.15,357,42.0,98.0,High,Passed
AHB78326.1,34.41,235,22.0,76.0,Very Low,Failed
AHB78353.1,76.04,150,33.0,92.0,High,Passed
AHB78382.1,46.01,311,26.0,72.0,Very Low,Failed
AHB78391.1,73.57,145,37.0,94.0,High,Passed
AHB78401.1,86.52,342,56.0,98.0,High,Passed
AHB78417.2,96.65,287,71.0,99.0,Very High,Passed
AHB78476.1,51.66,220,31.0,89.0,Low,Failed
AHB78517.1,70.78,250,21.0,97.0,High,Passed
AHB78611.1,43.47,154,33.0,60.0,Very Low,Failed
AHB78685.1,39.62,176,27.0,64.0,Very Low,Failed
AHB78703.1,82.96,299,57.0,98.0,High,Passed
AHB78714.1,72.61,142,39.0,86.0,High,Passed
AHB78739.1,82.92,347,43.0,98.0,High,Passed
AHB78743.1,36.73,170,25.0,55.0,Very Low,Failed
AHB78752.1,89.73,213,49.0,99.0,High,Passed
AHG18318.1,87.68,233,49.0,98.0,High,Passed
AHG18375.2,89.83,237,62.0,99.0,High,Passed
AHG18965.1,89.35,286,54.0,99.0,High,Passed
AHG19122.1,76.69,273,26.0,97.0,High,Passed
AHG19160.1,82.75,275,45.0,98.0,High,Passed
AHG19167.1,89.84,178,57.0,97.0,High,Passed
AHG19222.1,89.09,333,54.0,99.0,High,Passed
AHG19372.1,83.58,261,40.0,96.0,High,Passed
AHG19445.1,84.63,170,37.0,95.0,High,Passed
AHG19601.1,74.88,220,38.0,94.0,High,Passed
AHG20343.1,80.95,273,31.0,97.0,High,Passed
AHG20449.1,91.61,298,57.0,98.0,Very High,Passed
AHG20655.1,61.76,126,33.0,85.0,Low,Failed
AHG20739.1,93.88,292,76.0,99.0,Very High,Passed
AHG20833.2,85.44,266,44.0,99.0,High,Passed
AHG21042.1,92.26,303,69.0,99.0,Very High,Passed
AHG21064.1,86.31,242,54.0,99.0,High,Passed
AHG21112.1,71.69,159,34.0,93.0,High,Passed
AHG21311.1,79.54,249,32.0,98.0,High,Passed
AHG21379.1,77.27,309,29.0,98.0,High,Passed
AHG21538.1,95.74,274,63.0,99.0,Very High,Passed
